Vd Vg Vs Vb Lg Ids qd  
0.56 0.282828282828 0 0 1e-06 1.28870115968e-07 -2.65678618676e-09
0.67 0.282828282828 0 0 1e-06 1.28870116247e-07 -3.80069190625e-11
0.78 0.282828282828 0 0 1e-06 1.28870116251e-07 -5.43711761157e-13
0.89 0.282828282828 0 0 1e-06 1.28870116251e-07 -7.77812268168e-15
1.0 0.282828282828 0 0 1e-06 1.28870116251e-07 -1.11270707705e-16
0.01 0.30303030303 0 0 1e-06 3.07801588672e-08 -0.938604523694
0.12 0.30303030303 0 0 1e-06 1.74763382088e-07 -0.10332483354
0.23 0.30303030303 0 0 1e-06 1.86243805242e-07 -0.00196782780803
0.34 0.30303030303 0 0 1e-06 1.8645058604e-07 -2.83175922424e-05
0.45 0.30303030303 0 0 1e-06 1.86453558379e-07 -4.05135759254e-07
0.56 0.30303030303 0 0 1e-06 1.86453600904e-07 -5.79570990244e-09
0.67 0.30303030303 0 0 1e-06 1.86453601512e-07 -8.29111045026e-11
0.78 0.30303030303 0 0 1e-06 1.86453601521e-07 -1.18609305254e-12
0.89 0.30303030303 0 0 1e-06 1.86453601521e-07 -1.69677721426e-14
1.0 0.30303030303 0 0 1e-06 1.86453601521e-07 -2.42734152153e-16
0.01 0.323232323232 0 0 1e-06 4.17140083613e-08 -1.21820795454
0.12 0.323232323232 0 0 1e-06 2.43381440912e-07 -0.181446187664
0.23 0.323232323232 0 0 1e-06 2.64364126403e-07 -0.00426340491145
0.34 0.323232323232 0 0 1e-06 2.64812715498e-07 -6.1767689883e-05
0.45 0.323232323232 0 0 1e-06 2.64819199031e-07 -8.83793111933e-07
0.56 0.323232323232 0 0 1e-06 2.64819291797e-07 -1.26431902727e-08
0.67 0.323232323232 0 0 1e-06 2.64819293124e-07 -1.80868416052e-10
0.78 0.323232323232 0 0 1e-06 2.64819293143e-07 -2.58743111662e-12
0.89 0.323232323232 0 0 1e-06 2.64819293143e-07 -3.70147532079e-14
1.0 0.323232323232 0 0 1e-06 2.64819293143e-07 -5.29518233835e-16
0.01 0.343434343434 0 0 1e-06 5.51736794948e-08 -1.54517679742
0.12 0.343434343434 0 0 1e-06 3.3253577436e-07 -0.29205465233
0.23 0.343434343434 0 0 1e-06 3.68122902755e-07 -0.00916721247186
0.34 0.343434343434 0 0 1e-06 3.6909016164e-07 -0.000134714242175
0.45 0.343434343434 0 0 1e-06 3.69104302702e-07 -1.92796009743e-06
